"Pais","ISO3","Code","BaseN","Cod_Proceso","EstadoProceso","DescProceso","Moneda","Monto","Fecha","Digito"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","CDEEE-MAE-PEEN-2022-0004","Proceso con etapa cerrada","Adquisición de Seiscientas Mil Toneladas Métricas de Carbón Mineral (600,000 Tm) para la Central Termoeléctrica Punta Catalina","DOP",13108728000,"2022/08/30 21:00:00","1"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MOPC-MAE-PEEN-2022-0003","Proceso adjudicado y celebrado","CONSTRUCCIÓN DEL MURO DE HORMIGÓN ARMADO Y OBRAS CONEXAS EN LA AVENIDA LAS CARRERAS ESQUINA 30 DE MARZO EN SANTIAGO DE LOS CABALLEROS, PROVINCIA SANTIAGO","DOP",384292124.51,"2022/10/07 19:00:00","3"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","DESARROLLO PROVINCIA-MAE-PEEN-2022-0001","Proceso adjudicado y celebrado","Adquisición de materiales para ser utilizado en la reparación de viviendas afectadas por el huracán Fiona","DOP",159184125,"2022/10/03 18:00:00","1"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MOPC-MAE-PEEN-2022-0004","Sobres abiertos o aperturados","CONSTRUCCIÓN, RECONSTRUCCIÓN Y SOLUCIÓN DE:  CARRETERAS, CALLES, CAMINOS, DRENAJES Y TALUDES EN LAS PROVINCIAS: AZUA, BAHORUCO, DUARTE, EL SEIBO, HATO MAYOR, HERMANAS MIRABAL, LA ALTAGRACIA, SAN PEDRO","DOP",4341026901.48,"2022/10/25 20:00:00","4"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","PROMESECAL-MAE-PEEN-2022-0001","Proceso adjudicado y celebrado","Adquisición de medicamentos para abastecimiento por tormenta Fiona 2022","DOP",586738446,"2022/10/20 17:00:00","5"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","COE-MAE-PEEN-2022-0001","Cancelado","ADQUISION DE TIKETS DE COMBUSTIBLE PARA USO DURANTE EL PASO DE LA TORMENTA FIONA.","DOP",300000,"2022/09/20 17:00:00","3"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","PASP-MAE-PEEN-2022-0001","Proceso adjudicado y celebrado","ADQUISICIÓN DE ALIMENTOS Y MATERIAL DE EMPAQUE PARA LA CREACION DE RACIONES ALIMENTICIAS, ENSERES DEL HOGAR Y MATERIALES DE CONSTRUCCION PARA SER UTILIZADOS EN AYUDAS SOCIALES DE LA INSTITUCION.","DOP",1029236656.25,"2022/09/30 18:00:00","1"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","DCD-MAE-PEEN-2022-0001","Proceso desierto","Adquisición de Gasoil para la Planta de esta Institución con motivo a los operativos que se están llevando a cabo en el pais por la Tormenta Fiona","DOP",159126,"2022/09/20 18:53:00","1"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MAPRE-MAE-PEEN-2022-0001","Proceso adjudicado y celebrado","CONTRATACION DEL SUMINISTRO DE MATERIALES DIVERSOS (MADERA, ZINC,CLAVOS) PARA CONSTRUCCION Y RECONSTRUCCION DE VIVIENDAS DE CIUDADANOS VULNERABLES AFECTADOS POR EL PASO DEL HURACAN FIONA","DOP",121511120,"2022/09/30 21:00:00","1"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","EDEESTE-MAE-PEEN-2022-0001","Proceso adjudicado y celebrado","Compra de Equipos de Protección - Plan de Contingencia emergencia  Huracán Fiona","DOP",2316930,"2022/09/20 22:00:00","2"
