CODIGO_UNIDAD_COMPRA,UNIDAD_COMPRA,CODIGO_PROCESO,ID_ADJUDICACION,ID_OFERTA,ID_EVALUACION_OFERTA,CODIGO_CONTRATO,RPE,RAZON_SOCIAL,OBJETO_CONTRATO,CARATULA,ESTADO_ADJUDICACION,ESTADO_CONTRATO,FECHA_ADJUDICACION,FECHA_CONFIRMACION_ADJUDICACION,FECHA_APROBACION,FECHA_NOTIFICACION_PROVEEDOR,FECHA_FIRMA_CONTRATO,FECHA_INICIO_CONTRATO,FECHA_FIN_CONTRATO,FECHA_INICIO_ENTREGA,FECHA_FIN_ENTREGA,MONEDA,VALOR_CONTRATADO,METODO_PAGO,PLAZO_PAGO_FACTURA,FECHA_ULTIMA_MODIFICACION,URL_CONTRATO,ESTADO_PROCESO,CODIGO_MODALIDAD,MODALIDAD,TIPO_EXCEPCION,URL,RAZON_SOCIAL_RPE,NUMERO_DOCUMENTO,TIPO_DOCUMENTO,GENERO,TIPO_PERSONA,FORMA_JURIDICA,ES_MIPYME,CERTIFICACION_MICM,CLASIFICACION_EMPRESARIAL,CLASIFICACION_EMPRESARIAL_2,MUNICIPIO,PROVINCIA,REGION,MACROREGION,PAIS,CLASIFICACION_RPE,DETALLE_EXCEPCION,CONTRATO_MIPYME,FECHA_ACTUALIZACION
1154,"Ministerio de la Vivienda, Hábitat y Edificaciones",MIVHED-MAE-PEEN-2022-0001,DO1.AWD.1252121,DO1.RPL.3206603,DO1.RANL.1235103,MIVHED-2022-00344,75643,"Grinvirant Group, SRL",Bienes,ADQUISICIÓN DE MATERIALES Y HERRAMIENTAS PARA REPARACIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA - LOTE 2,Confirmada y enviada,Activo,21:43.7,54:39.7,null,36:58.8,35:54.8,00:00.0,00:00.0,00:00.0,00:00.0,DOP,32906888,Transferencia,60 días,36:58.3,https://comunidad.comprasdominicana.gob.do/Public/Tendering/ContractDetailView/Index?UniqueIdentifier=DO1.PCCNTR.1434134&AwardContractDetailId=389386,Proceso adjudicado y celebrado,PEEN,Procesos de Excepción,emergencia,https://comunidad.comprasdominicana.gob.do//Public/Tendering/OpportunityDetail/Index?noticeUID=DO1.NTC.1133056,"Grinvirant Group, SRL",131519555,RNC,Masculino,Persona Jurídica,Sociedades Comerciales,Si,Si,Micro Empresa,MIPYME Certificada,null,No Especificada,No Especificada,No Especificada,null,Micro empresa,emergencia,True,25:11.6
1154,"Ministerio de la Vivienda, Hábitat y Edificaciones",MIVHED-MAE-PEEN-2022-0001,DO1.AWD.1252121,DO1.RPL.3206606,DO1.RANL.1235106,MIVHED-2022-00346,37203,"Evel Suplidores, SRL",Bienes,ADQUISICIÓN DE MATERIALES Y HERRAMIENTAS PARA REPARACIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA - LOTE 1,Confirmada y enviada,Activo,21:43.7,54:39.7,null,24:20.1,23:24.1,00:00.0,00:00.0,00:00.0,00:00.0,DOP,118751818,Transferencia,60 días,24:14.3,https://comunidad.comprasdominicana.gob.do/Public/Tendering/ContractDetailView/Index?UniqueIdentifier=DO1.PCCNTR.1434139&AwardContractDetailId=389388,Proceso adjudicado y celebrado,PEEN,Procesos de Excepción,emergencia,https://comunidad.comprasdominicana.gob.do//Public/Tendering/OpportunityDetail/Index?noticeUID=DO1.NTC.1133056,"Evel Suplidores, SRL",130793859,RNC,Femenino,Persona Jurídica,Sociedades Comerciales,Si,Si,Pequeña Empresa,MIPYME Certificada,SAN CRISTÓBAL,SAN CRISTÓBAL,VALDESIA,SUROESTE,REPÚBLICA DOMINICANA,Pequeña empresa,emergencia,True,25:11.6
1154,"Ministerio de la Vivienda, Hábitat y Edificaciones",MIVHED-MAE-PEEN-2022-0001,DO1.AWD.1252121,DO1.RPL.3206607,DO1.RANL.1235107,MIVHED-2022-00347,20872,"Grupo Biserici, SRL",Bienes,ADQUISICIÓN DE MATERIALES Y HERRAMIENTAS PARA REPARACIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA - LOTE 1 Y 2,Confirmada y enviada,Activo,21:43.7,54:39.7,null,37:06.2,36:18.7,00:00.0,00:00.0,00:00.0,00:00.0,DOP,148824162,Transferencia,60 días,37:04.8,https://comunidad.comprasdominicana.gob.do/Public/Tendering/ContractDetailView/Index?UniqueIdentifier=DO1.PCCNTR.1434143&AwardContractDetailId=389389,Proceso adjudicado y celebrado,PEEN,Procesos de Excepción,emergencia,https://comunidad.comprasdominicana.gob.do//Public/Tendering/OpportunityDetail/Index?noticeUID=DO1.NTC.1133056,"Grupo Biserici, SRL",130950172,RNC,Masculino,Persona Jurídica,Sociedades Comerciales,Si,Si,Pequeña Empresa,MIPYME Certificada,DISTRITO NACIONAL,DISTRITO NACIONAL,OZAMA O METROPOLITANA,SURESTE,REPÚBLICA DOMINICANA,Pequeña empresa,emergencia,True,25:11.6
1154,"Ministerio de la Vivienda, Hábitat y Edificaciones",MIVHED-MAE-PEEN-2022-0001,DO1.AWD.1252121,DO1.RPL.3206608,DO1.RANL.1235108,MIVHED-2022-00349,67348,"Suplidora Rosalian, SRL",Bienes,ADQUISICIÓN DE MATERIALES Y HERRAMIENTAS PARA REPARACIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA - LOTE 2,Confirmada y enviada,Activo,21:43.7,54:39.7,null,54:02.0,53:34.4,00:00.0,00:00.0,00:00.0,00:00.0,DOP,32906888,Transferencia,60 días,54:01.5,https://comunidad.comprasdominicana.gob.do/Public/Tendering/ContractDetailView/Index?UniqueIdentifier=DO1.PCCNTR.1434146&AwardContractDetailId=389391,Proceso adjudicado y celebrado,PEEN,Procesos de Excepción,emergencia,https://comunidad.comprasdominicana.gob.do//Public/Tendering/OpportunityDetail/Index?noticeUID=DO1.NTC.1133056,"Suplidora Rosalian, SRL",131557082,RNC,Masculino,Persona Jurídica,Sociedades Comerciales,Si,Si,Mediana Empresa,MIPYME Certificada,null,No Especificada,No Especificada,No Especificada,null,Mediana empresa,emergencia,True,25:11.6
1154,"Ministerio de la Vivienda, Hábitat y Edificaciones",MIVHED-MAE-PEEN-2022-0001,DO1.AWD.1252121,DO1.RPL.3206605,DO1.RANL.1235105,MIVHED-2022-00345,35986,"VH Office Supply, SRL",Bienes,ADQUISICIÓN DE MATERIALES Y HERRAMIENTAS PARA REPARACIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA - LOTE 1 Y 2,Confirmada y enviada,Activo,21:43.7,54:39.7,null,16:24.5,15:48.6,00:00.0,00:00.0,00:00.0,00:00.0,DOP,108842525,Transferencia,60 días,16:22.7,https://comunidad.comprasdominicana.gob.do/Public/Tendering/ContractDetailView/Index?UniqueIdentifier=DO1.PCCNTR.1434232&AwardContractDetailId=389387,Proceso adjudicado y celebrado,PEEN,Procesos de Excepción,emergencia,https://comunidad.comprasdominicana.gob.do//Public/Tendering/OpportunityDetail/Index?noticeUID=DO1.NTC.1133056,"VH Office Supply, SRL",130943672,RNC,Femenino,Persona Jurídica,Sociedades Comerciales,Si,Si,Mediana Empresa,MIPYME Certificada,null,No Especificada,No Especificada,No Especificada,null,Mediana empresa,emergencia,True,25:11.6
1154,"Ministerio de la Vivienda, Hábitat y Edificaciones",MIVHED-MAE-PEEN-2022-0001,DO1.AWD.1252121,DO1.RPL.3196320,DO1.RANL.1232040,MIVHED-2022-00348,59244,"Susana Hermanos, SRL",Bienes,ADQUISICIÓN DE MATERIALES Y HERRAMIENTAS PARA REPARACIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA - LOTE 3,Confirmada y enviada,Activo,21:43.7,54:39.7,null,46:56.6,46:06.1,00:00.0,00:00.0,00:00.0,00:00.0,DOP,1303619,Transferencia,60 días,46:55.4,https://comunidad.comprasdominicana.gob.do/Public/Tendering/ContractDetailView/Index?UniqueIdentifier=DO1.PCCNTR.1434233&AwardContractDetailId=389390,Proceso adjudicado y celebrado,PEEN,Procesos de Excepción,emergencia,https://comunidad.comprasdominicana.gob.do//Public/Tendering/OpportunityDetail/Index?noticeUID=DO1.NTC.1133056,"Susana Hermanos, SRL",101577878,RNC,Masculino,Persona Jurídica,Sociedades Comerciales,Si,Si,Mediana Empresa,MIPYME Certificada,SANTO DOMINGO OESTE,SANTO DOMINGO,OZAMA O METROPOLITANA,SURESTE,REPÚBLICA DOMINICANA,Mediana empresa,emergencia,False,25:11.6
1154,"Ministerio de la Vivienda, Hábitat y Edificaciones",MIVHED-MAE-PEEN-2022-0005,DO1.AWD.1256007,DO1.RPL.3195864,DO1.RANL.1232495,MIVHED-2022-00354,236,Isla Dominicana de Petroleo Corporation,Bienes,ADQUISICIÓN DE TICKETS DE COMBUSTIBLE PARA USO DE LA FLOTILLA VEHICULAR DEL MINISTERIO PARA EL OPERATIVO DE INTERVENCIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA,Confirmada y enviada,Cerrado,27:26.5,37:28.0,null,06:40.0,05:35.9,15:00.0,00:00.0,00:00.0,00:00.0,DOP,20000000,Transferencia,90 días,57:05.1,https://comunidad.comprasdominicana.gob.do/Public/Tendering/ContractDetailView/Index?UniqueIdentifier=DO1.PCCNTR.1440014&AwardContractDetailId=391663,Proceso adjudicado y celebrado,PEEN,Procesos de Excepción,emergencia,https://comunidad.comprasdominicana.gob.do//Public/Tendering/OpportunityDetail/Index?noticeUID=DO1.NTC.1137049,Isla Dominicana de Petroleo Corporation,101008172,RNC,Masculino,Persona Jurídica,Sociedades Comerciales,No,No,No clasificada,Empresa no acogida a la Ley 187-17,null,No Especificada,No Especificada,No Especificada,null,No clasificada,emergencia,False,25:11.6
1154,"Ministerio de la Vivienda, Hábitat y Edificaciones",MIVHED-MAE-PEEN-2022-0003,DO1.AWD.1255556,DO1.RPL.3218107,DO1.RANL.1239373,MIVHED-2022-00358,96081,"Nonspill Corporation, SRL",Servicios,"Contratación del servicio de alojamiento para el personal de apoyo, jornada de reparación de viviendas afectados huracán Fiona (55 habitaciones) por 17 dias.",Confirmada y enviada,Cerrado,52:05.5,58:15.4,null,09:40.6,09:40.4,15:00.0,00:00.0,15:00.0,00:00.0,DOP,1780838,Transferencia,30 días,12:30.3,https://comunidad.comprasdominicana.gob.do/Public/Tendering/ContractDetailView/Index?UniqueIdentifier=DO1.PCCNTR.1440158&AwardContractDetailId=391891,Proceso adjudicado y celebrado,PEEN,Procesos de Excepción,emergencia,https://comunidad.comprasdominicana.gob.do//Public/Tendering/OpportunityDetail/Index?noticeUID=DO1.NTC.1137149,"Nonspill Corporation, SRL",132254481,RNC,Femenino,Persona Jurídica,Sociedades Comerciales,Si,Si,Micro Empresa,MIPYME Certificada,null,No Especificada,No Especificada,No Especificada,null,MIPYME Mujer - Micro empresa,emergencia,True,25:11.6
1154,"Ministerio de la Vivienda, Hábitat y Edificaciones",MIVHED-MAE-PEEN-2022-0002,DO1.AWD.1260758,DO1.RPL.3230414,DO1.RANL.1245407,MIVHED-2022-00382,75751,Nu Energy SRL,Obras,CONSTRUCCIÓN Y RECONSTRUCCIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA,Confirmada y enviada,Activo,35:08.5,01:56.1,null,03:14.6,00:52.3,30:00.0,31:00.0,30:00.0,00:00.0,DOP,76699951,Transferencia,120 días,03:13.8,https://comunidad.comprasdominicana.gob.do/Public/Tendering/ContractDetailView/Index?UniqueIdentifier=DO1.PCCNTR.1445701&AwardContractDetailId=394459,Proceso adjudicado y celebrado,PEEN,Procesos de Excepción,emergencia,https://comunidad.comprasdominicana.gob.do//Public/Tendering/OpportunityDetail/Index?noticeUID=DO1.NTC.1134644,Nu Energy SRL,130870381,RNC,Masculino,Persona Jurídica,Sociedades Comerciales,Si,Si,Mediana Empresa,MIPYME Certificada,SANTO DOMINGO NORTE,SANTO DOMINGO,OZAMA O METROPOLITANA,SURESTE,REPÚBLICA DOMINICANA,Mediana empresa,emergencia,True,25:11.6
1154,"Ministerio de la Vivienda, Hábitat y Edificaciones",MIVHED-MAE-PEEN-2022-0002,DO1.AWD.1260758,DO1.RPL.3230389,DO1.RANL.1245496,MIVHED-2022-00396,61493,"Ingeniería Losung, SRL",Obras,CONSTRUCCIÓN Y RECONSTRUCCIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA,Confirmada y enviada,Activo,35:08.5,01:56.1,null,26:58.5,26:39.4,25:00.0,00:00.0,25:00.0,00:00.0,DOP,62741932,Transferencia,120 días,26:57.1,https://comunidad.comprasdominicana.gob.do/Public/Tendering/ContractDetailView/Index?UniqueIdentifier=DO1.PCCNTR.1445714&AwardContractDetailId=394471,Proceso adjudicado y celebrado,PEEN,Procesos de Excepción,emergencia,https://comunidad.comprasdominicana.gob.do//Public/Tendering/OpportunityDetail/Index?noticeUID=DO1.NTC.1134644,"Ingeniería Losung, SRL",130753131,RNC,Masculino,Persona Jurídica,Sociedades Comerciales,No,No,No clasificada,Empresa no acogida a la Ley 187-17,DISTRITO NACIONAL,DISTRITO NACIONAL,OZAMA O METROPOLITANA,SURESTE,REPÚBLICA DOMINICANA,No clasificada,emergencia,False,25:11.6
